  r(μm)     depth(nm)
-33.1415  -522.36355092
-33.1193  -522.12247146
-33.0971  -521.77496448
-33.0749  -521.80916834
-33.0527  -521.79649736
-33.0304  -521.40629706
-33.0082  -521.33384727
-32.9860  -520.82124252
-32.9638  -519.76801275
-32.9416  -518.22936740
-32.9194  -515.76896033
-32.8971  -511.65397631
-32.8749  -506.28201937
-32.8527  -499.33206568
-32.8305  -490.14422025
-32.8083  -479.58898972
-32.7860  -468.38687923
-32.7638  -457.19766496
-32.7416  -446.25471817
-32.7194  -434.85124507
-32.6972  -422.78217948
-32.6750  -409.92626527
-32.6527  -396.99227333
-32.6305  -383.51250056
-32.6083  -370.85414017
-32.5861  -359.37639331
-32.5639  -348.62868690
-32.5417  -338.88154515
-32.5194  -329.63443380
-32.4972  -320.13786972
-32.4750  -310.39396622
-32.4528  -300.30151160
-32.4306  -289.82984547
-32.4084  -278.59900684
-32.3861  -266.92987739
-32.3639  -254.49128304
-32.3417  -241.61240891
-32.3195  -228.26334898
-32.2973  -214.62643160
-32.2751  -200.66271822
-32.2528  -186.51779177
-32.2306  -172.25624377
-32.2084  -158.46689738
-32.1862  -145.35615406
-32.1640  -133.19709427
-32.1417  -121.59383553
-32.1195  -110.92773863
-32.0973  -101.06430233
-32.0751  -91.86976089
-32.0529  -83.53539067
-32.0307  -76.01386050
-32.0084  -68.96323199
-31.9862  -62.41496211
-31.9640  -56.76196857
-31.9418  -51.72240516
-31.9196  -47.09056753
-31.8974  -43.33798037
-31.8751  -40.16599738
-31.8529  -37.34256965
-31.8307  -35.10027146
-31.8085  -33.05601762
-31.7863  -31.22877864
-31.7641  -29.14582970
-31.7418  -27.05898273
-31.7196  -24.71858004
-31.6974  -22.66368452
-31.6752  -20.73460332
-31.6530  -18.77736071
-31.6307  -17.01161710
-31.6085  -15.43800879
-31.5863  -13.88237107
-31.5641  -12.56035825
-31.5419  -11.15378501
-31.5197  -10.04475164
-31.4974   -8.70362412
-31.4752   -8.15726471
-31.4530   -7.15710006
-31.4308   -6.40667616
-31.4086   -5.88351922
-31.3864   -5.36819271
-31.3641   -4.44962594
-31.3419   -3.87530901
-31.3197   -3.23951835
-31.2975   -2.29106197
-31.2753   -1.87182309
-31.2531   -1.16911912
-31.2308   -0.78838505
-31.2086   -0.61940328
-31.1864   -0.57426998
-31.1642   -0.05702320
-31.1420   -0.00037996
-31.1198    0.34577393
-31.0975    0.72593566
-31.0753    1.01582438
-31.0531    1.15642289
-31.0309    1.81100155
-31.0087    1.69472984
-30.9864    1.83041303
-30.9642    2.06946929
-30.9420    2.06671291
-30.9198    2.04655481
-30.8976    2.32039406
-30.8754    2.55084848
-30.8531    2.52556542
-30.8309    2.59002180
-30.8087    2.79691029
-30.7865    2.78554813
-30.7643    2.92843521
-30.7421    3.30759840
-30.7198    3.49611651
-30.6976    3.89883748
-30.6754    3.93629887
-30.6532    3.94231137
-30.6310    3.74045328
