  r(μm)     depth(nm)
-14.3679  -534.92822328
-14.3457  -534.68240213
-14.3235  -534.68987300
-14.3013  -534.65858902
-14.2790  -534.29364629
-14.2568  -534.53906852
-14.2346  -534.62983641
-14.2124  -534.47726737
-14.1902  -534.56456197
-14.1680  -534.78789686
-14.1457  -534.64273396
-14.1235  -534.66308578
-14.1013  -534.56083770
-14.0791  -534.42665692
-14.0569  -534.24331623
-14.0347  -534.55884602
-14.0124  -534.56279846
-13.9902  -534.84428077
-13.9680  -535.05747927
-13.9458  -535.20512793
-13.9236  -535.09076607
-13.9014  -534.92326110
-13.8791  -534.68413022
-13.8569  -534.32947646
-13.8347  -534.34057416
-13.8125  -534.16247228
-13.7903  -534.22092646
-13.7681  -534.39634763
-13.7458  -534.53465987
-13.7236  -534.40957676
-13.7014  -534.57577707
-13.6792  -534.58667532
-13.6570  -534.28202769
-13.6347  -534.01220392
-13.6125  -533.99834331
-13.5903  -533.96891288
-13.5681  -533.83782302
-13.5459  -534.23491806
-13.5237  -534.27704809
-13.5014  -534.56409546
-13.4792  -534.58850717
-13.4570  -534.36709656
-13.4348  -534.27338327
-13.4126  -534.29260217
-13.3904  -533.90186206
-13.3681  -533.76393333
-13.3459  -533.77947634
-13.3237  -533.56891861
-13.3015  -533.59415288
-13.2793  -533.88536714
-13.2571  -533.79375525
-13.2348  -533.93508576
-13.2126  -534.10868164
-13.1904  -534.10950126
-13.1682  -534.21176028
-13.1460  -534.29538282
-13.1238  -534.09218403
-13.1015  -534.14082394
-13.0793  -534.09719958
-13.0571  -534.38853820
-13.0349  -534.35235719
-13.0127  -534.33446460
-12.9904  -534.27052310
-12.9682  -533.99970572
-12.9460  -533.94144025
-12.9238  -533.94169912
-12.9016  -533.70238361
-12.8794  -533.57319211
-12.8571  -533.40641842
-12.8349  -533.39563449
-12.8127  -533.36326256
-12.7905  -533.51417567
-12.7683  -533.58328200
-12.7461  -533.72364455
-12.7238  -533.74667910
-12.7016  -533.71444700
-12.6794  -533.53310342
-12.6572  -533.70319917
-12.6350  -533.70300307
-12.6128  -533.74174276
-12.5905  -534.03665651
-12.5683  -534.07823475
-12.5461  -534.02168608
-12.5239  -534.19417299
-12.5017  -534.18575712
-12.4794  -533.83887748
-12.4572  -533.97287400
-12.4350  -533.80064092
-12.4128  -533.50151078
-12.3906  -533.71868486
-12.3684  -534.00698116
-12.3461  -533.72654273
-12.3239  -534.06619465
-12.3017  -534.05351084
-12.2795  -534.01898813
-12.2573  -534.06792393
-12.2351  -533.90363688
-12.2128  -533.58888925
-12.1906  -533.79051462
-12.1684  -533.79058303
-12.1462  -533.81675189
-12.1240  -533.93742522
-12.1018  -534.25079021
-12.0795  -533.98355015
-12.0573  -533.93657701
-12.0351  -533.90863290
-12.0129  -533.59082666
-11.9907  -533.55153453
-11.9685  -533.58613978
-11.9462  -533.59012815
-11.9240  -533.51339672
-11.9018  -533.51143372
-11.8796  -533.62434710
-11.8574  -533.46698800
-11.8351  -533.48715651
-11.8129  -533.75448030
-11.7907  -533.46302875
-11.7685  -533.56798615
-11.7463  -533.64517108
-11.7241  -533.51881787
-11.7018  -533.67428368
-11.6796  -533.81716822
-11.6574  -533.46652733
-11.6352  -533.70343149
-11.6130  -533.55306086
-11.5908  -533.42947644
-11.5685  -533.50848821
-11.5463  -533.55571031
-11.5241  -533.32492437
-11.5019  -533.24690632
-11.4797  -533.37605646
-11.4575  -533.18015274
-11.4352  -533.14389405
-11.4130  -533.38563095
-11.3908  -533.43254813
-11.3686  -533.41632470
-11.3464  -533.49594462
-11.3242  -533.22719446
-11.3019  -532.92107399
-11.2797  -533.13004779
-11.2575  -532.99101868
-11.2353  -533.12761223
-11.2131  -533.28261156
-11.1908  -533.36954960
-11.1686  -533.30115645
-11.1464  -533.17768295
-11.1242  -533.28147295
-11.1020  -533.09816283
-11.0798  -533.08573236
-11.0575  -533.19416179
-11.0353  -533.36032953
-11.0131  -533.34234370
-10.9909  -533.71898017
-10.9687  -533.82922515
-10.9465  -533.78798378
-10.9242  -533.95563833
-10.9020  -534.06674459
-10.8798  -533.66415627
-10.8576  -533.90543166
-10.8354  -533.72682464
-10.8132  -533.49838479
-10.7909  -533.70129106
-10.7687  -533.62880187
-10.7465  -533.45530402
-10.7243  -533.58744253
-10.7021  -533.46406425
-10.6798  -533.23534268
-10.6576  -533.30944360
-10.6354  -533.09518937
-10.6132  -532.80110824
-10.5910  -532.75451865
-10.5688  -532.61741364
-10.5465  -532.46766987
-10.5243  -532.61615426
-10.5021  -532.82036096
-10.4799  -532.68512125
-10.4577  -532.61590349
-10.4355  -532.91891530
-10.4132  -532.70462656
-10.3910  -532.98882225
-10.3688  -532.92439575
-10.3466  -532.86878686
-10.3244  -532.67871308
-10.3022  -532.52633596
-10.2799  -532.25914240
-10.2577  -532.30967582
-10.2355  -532.37107426
-10.2133  -532.41267732
-10.1911  -532.22263328
-10.1689  -532.37140225
-10.1466  -532.18615026
-10.1244  -532.16163672
-10.1022  -532.07167246
-10.0800  -532.17008848
-10.0578  -532.26848684
-10.0355  -532.18786072
-10.0133  -532.34860731
-9.9911  -532.28366059
-9.9689  -532.14892174
-9.9467  -532.04722188
-9.9245  -532.00491129
-9.9022  -532.07194097
-9.8800  -532.22339689
-9.8578  -532.07998446
-9.8356  -532.25280257
-9.8134  -532.57777584
-9.7912  -532.65040238
-9.7689  -532.79817869
-9.7467  -533.17173944
-9.7245  -533.02832402
-9.7023  -533.05227014
-9.6801  -533.33969484
-9.6579  -533.14855244
-9.6356  -532.98123824
-9.6134  -533.43106579
-9.5912  -533.10627934
-9.5690  -533.22401166
-9.5468  -533.30966597
-9.5246  -533.34886471
-9.5023  -533.15069371
-9.4801  -533.09488893
-9.4579  -532.80057438
-9.4357  -532.74393392
-9.4135  -532.82879286
-9.3912  -532.78507658
-9.3690  -532.59496624
-9.3468  -533.06184111
-9.3246  -532.90773496
-9.3024  -532.79260528
-9.2802  -532.98913466
-9.2579  -532.78666456
-9.2357  -532.54970874
-9.2135  -532.63372056
-9.1913  -532.86398154
-9.1691  -532.99117809
-9.1469  -532.96928885
-9.1246  -533.03438694
-9.1024  -532.91725339
-9.0802  -532.86124136
-9.0580  -532.59633765
-9.0358  -532.59384359
-9.0136  -532.51029521
-8.9913  -532.45149897
-8.9691  -532.52742992
-8.9469  -532.25754401
-8.9247  -532.26816507
-8.9025  -532.23536380
-8.8802  -532.05537391
-8.8580  -532.03479663
-8.8358  -532.04532556
-8.8136  -531.67275383
-8.7914  -531.75109457
-8.7692  -531.65388747
-8.7469  -531.29238411
-8.7247  -531.34948768
-8.7025  -531.41076428
-8.6803  -531.20198570
-8.6581  -531.40749583
-8.6359  -531.65748074
-8.6136  -531.71874715
-8.5914  -531.85750107
-8.5692  -531.94383859
-8.5470  -531.84331837
-8.5248  -531.79856730
-8.5026  -531.88579460
-8.4803  -531.74686114
-8.4581  -531.67725115
-8.4359  -531.56926215
-8.4137  -531.52705847
-8.3915  -531.51264504
-8.3693  -531.60224607
-8.3470  -531.52120255
-8.3248  -531.64800110
-8.3026  -531.70119540
-8.2804  -531.60350032
-8.2582  -531.52474591
-8.2359  -531.86074318
-8.2137  -531.82806620
-8.1915  -531.86204119
-8.1693  -532.03550871
-8.1471  -532.18483995
-8.1249  -532.18310465
-8.1026  -532.13386454
-8.0804  -532.11760780
-8.0582  -531.87406934
-8.0360  -531.66092222
-8.0138  -531.72837214
-7.9916  -531.59086421
-7.9693  -531.77303141
-7.9471  -531.78862273
-7.9249  -531.70208275
-7.9027  -531.75371901
-7.8805  -531.79216404
-7.8583  -531.56135036
-7.8360  -531.42178290
-7.8138  -531.18046769
-7.7916  -530.89478338
-7.7694  -530.73960357
-7.7472  -530.72438821
-7.7250  -530.69148265
-7.7027  -530.68704512
-7.6805  -530.69579874
-7.6583  -530.87898345
-7.6361  -530.64148337
-7.6139  -530.62726254
-7.5916  -530.64606088
-7.5694  -530.44558280
-7.5472  -530.52749470
-7.5250  -530.63839767
-7.5028  -530.46889935
-7.4806  -530.45183632
-7.4583  -530.76229845
-7.4361  -530.17356940
-7.4139  -530.23475929
-7.3917  -530.41674806
-7.3695  -530.20505567
-7.3473  -530.15843038
-7.3250  -530.19170809
-7.3028  -529.82771366
-7.2806  -529.87178000
-7.2584  -529.89708987
-7.2362  -529.70169230
-7.2140  -529.87538199
-7.1917  -530.03418595
-7.1695  -530.16137560
-7.1473  -530.17938627
-7.1251  -530.21723136
-7.1029  -530.24553345
-7.0806  -529.92547912
-7.0584  -529.99069612
-7.0362  -529.98708615
-7.0140  -529.85490276
-6.9918  -530.04219196
-6.9696  -530.12738317
-6.9473  -529.99055204
-6.9251  -530.16631663
-6.9029  -530.30319562
-6.8807  -530.10136493
-6.8585  -530.18886087
-6.8363  -530.31565120
-6.8140  -530.13968983
-6.7918  -530.34822226
-6.7696  -530.37578333
-6.7474  -530.14767837
-6.7252  -530.24991403
-6.7030  -530.24040395
-6.6807  -530.19442363
-6.6585  -530.13486000
-6.6363  -530.24320419
-6.6141  -529.95848943
-6.5919  -530.05384852
-6.5697  -529.97260591
-6.5474  -530.05694692
-6.5252  -529.83339364
-6.5030  -530.08983032
-6.4808  -529.95395358
-6.4586  -529.98529354
-6.4363  -530.08425694
-6.4141  -530.04198875
-6.3919  -530.08775726
-6.3697  -530.17155379
-6.3475  -530.16668377
-6.3253  -530.04342990
-6.3030  -529.74591200
-6.2808  -529.89956269
-6.2586  -529.83111370
-6.2364  -530.00985919
-6.2142  -530.06404207
-6.1920  -529.89081272
-6.1697  -530.04270746
-6.1475  -530.05585219
-6.1253  -529.83285344
-6.1031  -529.62780051
-6.0809  -529.45052041
-6.0587  -529.47751702
-6.0364  -529.60334841
-6.0142  -529.65510056
-5.9920  -529.92785980
-5.9698  -529.61433632
-5.9476  -529.88479751
-5.9253  -529.68279407
-5.9031  -529.29900398
-5.8809  -529.24198864
-5.8587  -529.11130250
-5.8365  -528.96531507
-5.8143  -529.08097717
-5.7920  -529.31085593
-5.7698  -529.17258837
-5.7476  -529.26407515
-5.7254  -529.39990390
-5.7032  -529.21042333
-5.6810  -528.98667066
-5.6587  -529.01105403
-5.6365  -528.39902784
-5.6143  -528.32035054
-5.5921  -528.33294631
-5.5699  -528.16118950
-5.5477  -528.19105979
-5.5254  -528.71734542
-5.5032  -528.53889600
-5.4810  -528.67660499
-5.4588  -528.68824716
-5.4366  -528.51146201
-5.4144  -528.18305044
-5.3921  -528.32039123
-5.3699  -528.05030814
-5.3477  -528.25317929
-5.3255  -528.31830580
-5.3033  -528.43837997
-5.2810  -528.47791074
-5.2588  -528.26461375
-5.2366  -528.00933737
-5.2144  -527.77670992
-5.1922  -527.81608726
-5.1700  -527.75054457
-5.1477  -527.84346161
-5.1255  -527.89524947
-5.1033  -527.87431876
-5.0811  -527.91889267
-5.0589  -527.91881733
-5.0367  -527.98628754
-5.0144  -527.92332064
-4.9922  -527.94688758
-4.9700  -527.92280272
-4.9478  -527.67694569
-4.9256  -527.70171287
-4.9034  -527.69172946
-4.8811  -527.33991721
-4.8589  -527.25680040
-4.8367  -527.52201338
-4.8145  -527.55646814
-4.7923  -527.74933859
-4.7701  -527.88879035
-4.7478  -527.98965318
-4.7256  -527.91443856
-4.7034  -528.01095396
-4.6812  -527.82721125
-4.6590  -527.55365272
-4.6367  -527.67949355
-4.6145  -527.70442708
-4.5923  -527.48438357
-4.5701  -527.80207252
-4.5479  -528.08088315
-4.5257  -527.93019345
-4.5034  -528.19497176
-4.4812  -528.06760253
-4.4590  -527.90397418
-4.4368  -527.73190074
-4.4146  -527.41938199
-4.3924  -527.10316598
-4.3701  -527.19356561
-4.3479  -527.18576597
-4.3257  -527.14459684
-4.3035  -527.24716805
-4.2813  -527.26378266
-4.2591  -527.18468057
-4.2368  -527.11690437
-4.2146  -527.11651426
-4.1924  -527.26418228
-4.1702  -527.08448074
-4.1480  -527.35162022
-4.1257  -527.51526548
-4.1035  -527.49820280
-4.0813  -527.68686304
-4.0591  -527.70079550
-4.0369  -527.69979893
-4.0147  -527.76055242
-3.9924  -527.82791849
-3.9702  -527.87630790
-3.9480  -528.02063461
-3.9258  -528.18266262
-3.9036  -528.13411111
-3.8814  -528.09302514
-3.8591  -527.88789898
-3.8369  -527.92596219
-3.8147  -527.86971544
-3.7925  -528.02352532
-3.7703  -528.09450628
-3.7481  -528.30049360
-3.7258  -528.46717017
-3.7036  -528.30440365
-3.6814  -528.35578829
-3.6592  -528.45682775
-3.6370  -528.38183885
-3.6148  -528.38203462
-3.5925  -528.59805066
-3.5703  -528.70593471
-3.5481  -528.84525625
-3.5259  -528.63463874
-3.5037  -528.84381532
-3.4814  -528.64717436
-3.4592  -528.78997047
-3.4370  -528.63111179
-3.4148  -528.45682745
-3.3926  -528.72857923
-3.3704  -528.84897076
-3.3481  -528.77592248
-3.3259  -529.01531982
-3.3037  -529.05186639
-3.2815  -528.98579103
-3.2593  -528.95668857
-3.2371  -528.98044161
-3.2148  -528.81944755
-3.1926  -528.67684147
-3.1704  -528.89837417
-3.1482  -528.87834027
-3.1260  -528.63541306
-3.1038  -528.83042718
-3.0815  -528.52070210
-3.0593  -528.50072593
-3.0371  -528.68642136
-3.0149  -528.44402125
-2.9927  -528.57493595
-2.9705  -528.82354709
-2.9482  -528.71314727
-2.9260  -528.70738343
-2.9038  -528.64874658
-2.8816  -528.27028813
-2.8594  -528.08305241
-2.8371  -528.01080275
-2.8149  -527.96456723
-2.7927  -527.86917039
-2.7705  -528.13471807
-2.7483  -528.19670430
-2.7261  -528.24364518
-2.7038  -528.21423914
-2.6816  -528.14781089
-2.6594  -528.04645795
-2.6372  -527.77650069
-2.6150  -527.80981250
-2.5928  -527.82420529
-2.5705  -528.01320575
-2.5483  -528.31463008
-2.5261  -528.13544991
-2.5039  -528.36305286
-2.4817  -528.35800985
-2.4595  -528.39377499
-2.4372  -528.12879614
-2.4150  -528.08662310
-2.3928  -528.24607439
-2.3706  -528.41095523
-2.3484  -528.55912854
-2.3261  -528.71255201
-2.3039  -528.59263075
-2.2817  -528.83289458
-2.2595  -528.69496793
-2.2373  -528.46481119
-2.2151  -528.52923214
-2.1928  -528.57382685
-2.1706  -528.35995302
-2.1484  -528.46402715
-2.1262  -528.82668778
-2.1040  -528.73958246
-2.0818  -528.65343839
-2.0595  -528.70230501
-2.0373  -528.63747063
-2.0151  -528.43117280
-1.9929  -528.51997275
-1.9707  -528.32820612
-1.9485  -528.38628285
-1.9262  -528.43669468
-1.9040  -528.37266324
-1.8818  -528.23449763
-1.8596  -528.14603457
-1.8374  -527.80723945
-1.8152  -527.83949872
-1.7929  -527.90572638
-1.7707  -528.02419501
-1.7485  -528.11302815
-1.7263  -528.03998135
-1.7041  -527.93034701
-1.6818  -527.86378304
-1.6596  -527.82822816
-1.6374  -527.84447243
-1.6152  -528.09713719
-1.5930  -528.12892655
-1.5708  -528.17389519
-1.5485  -528.20451901
-1.5263  -528.22817376
-1.5041  -528.22935464
-1.4819  -528.21762151
-1.4597  -528.19308144
-1.4375  -528.35004682
-1.4152  -528.03333257
-1.3930  -528.11303566
-1.3708  -528.16891088
-1.3486  -528.18303433
-1.3264  -528.25629465
-1.3042  -528.35854937
-1.2819  -528.28849030
-1.2597  -528.13463117
-1.2375  -528.20551724
-1.2153  -527.91881165
-1.1931  -527.93900192
-1.1709  -528.18382703
-1.1486  -528.30549911
-1.1264  -528.24898066
-1.1042  -528.69584017
-1.0820  -528.48943398
-1.0598  -528.42214051
-1.0375  -528.54164944
-1.0153  -528.23035227
-0.9931  -528.09847205
-0.9709  -528.13733871
-0.9487  -528.17895806
-0.9265  -528.20752817
-0.9042  -528.38292159
-0.8820  -528.40754701
-0.8598  -528.29917042
-0.8376  -528.13695629
-0.8154  -527.96408701
-0.7932  -527.96096522
-0.7709  -527.99680351
-0.7487  -527.98944352
-0.7265  -527.86632505
-0.7043  -527.97716327
-0.6821  -527.94537382
-0.6599  -528.03678701
-0.6376  -528.05699657
-0.6154  -528.09074945
-0.5932  -527.98848627
-0.5710  -527.96195373
-0.5488  -528.04231319
-0.5265  -527.69387359
-0.5043  -527.70675976
-0.4821  -527.82834545
-0.4599  -527.90888335
-0.4377  -527.84782189
-0.4155  -527.94167247
-0.3932  -527.77668849
-0.3710  -527.53180850
-0.3488  -527.37089018
-0.3266  -527.36969922
-0.3044  -527.03644273
-0.2822  -527.04608801
-0.2599  -527.20640105
-0.2377  -526.86837733
-0.2155  -527.06374505
-0.1933  -527.27089526
-0.1711  -527.19668249
-0.1489  -527.12692148
-0.1266  -527.05803406
-0.1044  -527.09642294
-0.0822  -527.14479825
-0.0600  -527.36148751
-0.0378  -527.42190404
-0.0156  -527.49194058
0.0067  -527.67308682
0.0289  -527.67955487
0.0511  -527.69749149
0.0733  -527.79397205
0.0955  -527.60704998
0.1178  -527.44772610
0.1400  -527.27946279
0.1622  -527.43889600
0.1844  -527.45939257
0.2066  -527.52270147
0.2288  -527.74325969
0.2511  -528.03392858
0.2733  -528.47147652
0.2955  -528.49042269
0.3177  -528.41886167
0.3399  -528.40146859
0.3621  -528.40042956
0.3844  -528.42439046
0.4066  -528.30124524
0.4288  -528.53940113
0.4510  -528.66939160
0.4732  -528.47140768
0.4954  -528.76420110
0.5177  -528.75613504
0.5399  -528.56180053
0.5621  -528.64372456
0.5843  -528.53042285
0.6065  -528.64371002
0.6287  -528.64738121
0.6510  -529.00129684
0.6732  -528.90774277
0.6954  -529.06732213
0.7176  -528.95007472
0.7398  -529.03175871
0.7621  -528.71973772
0.7843  -528.65068701
0.8065  -528.31620297
0.8287  -528.56109143
0.8509  -528.64926052
0.8731  -528.69032544
0.8954  -528.91970115
0.9176  -529.10205171
0.9398  -529.12912579
0.9620  -529.35017672
0.9842  -529.27412001
1.0064  -529.06206646
1.0287  -528.86492031
1.0509  -528.71420615
1.0731  -528.67668350
1.0953  -528.59731727
1.1175  -528.89712854
1.1397  -528.75954806
1.1620  -528.63691464
1.1842  -528.74545987
1.2064  -528.47170602
1.2286  -528.56850343
1.2508  -528.24492694
1.2731  -528.14162548
1.2953  -527.97073093
1.3175  -527.87560534
1.3397  -528.00404970
1.3619  -527.78879731
1.3841  -528.00058405
1.4064  -528.24011542
1.4286  -528.12454226
1.4508  -528.19371131
1.4730  -528.25732586
1.4952  -527.96150301
1.5174  -527.87107635
1.5397  -528.02673998
1.5619  -527.83281573
1.5841  -527.76839711
1.6063  -528.30618425
1.6285  -528.24632576
1.6507  -528.48066911
1.6730  -528.79959033
1.6952  -528.32928255
1.7174  -528.21416469
1.7396  -528.37259886
1.7618  -527.99425449
1.7840  -528.11204814
1.8063  -528.41078296
1.8285  -528.35603191
1.8507  -528.42801049
1.8729  -528.92088981
1.8951  -528.64152925
1.9174  -528.50796441
1.9396  -528.55828055
1.9618  -528.21392476
1.9840  -528.03021096
2.0062  -528.01583868
2.0284  -527.97619524
2.0507  -528.06237666
2.0729  -528.22991702
2.0951  -528.30007284
2.1173  -528.39601759
2.1395  -528.59666480
2.1617  -528.36766246
2.1840  -528.20360559
2.2062  -528.09174691
2.2284  -527.80225818
2.2506  -527.80038507
2.2728  -527.66399743
2.2950  -527.62394220
2.3173  -527.54711800
2.3395  -527.51986436
2.3617  -527.66402436
2.3839  -527.73572211
2.4061  -527.57589453
2.4283  -527.70468675
2.4506  -527.70049945
2.4728  -527.40240333
2.4950  -527.44091351
2.5172  -527.69611852
2.5394  -527.61358189
2.5617  -527.74864749
2.5839  -527.97873167
2.6061  -527.80419372
2.6283  -527.75220308
2.6505  -527.85135161
2.6727  -527.31016741
2.6950  -527.14432769
2.7172  -527.35753291
2.7394  -526.99175497
2.7616  -527.04345299
2.7838  -527.23633140
2.8060  -526.92612845
2.8283  -527.16030594
2.8505  -527.36056446
2.8727  -526.97285826
2.8949  -526.93815543
2.9171  -526.90874775
2.9393  -526.56573919
2.9616  -526.56575466
2.9838  -526.71033094
3.0060  -526.49988057
3.0282  -526.65772458
3.0504  -527.14482064
3.0727  -526.86126203
3.0949  -526.89369330
3.1171  -527.13316317
3.1393  -526.76869716
3.1615  -526.56571560
3.1837  -526.61369072
3.2060  -526.56002783
3.2282  -526.43095462
3.2504  -526.56884635
3.2726  -526.70438216
3.2948  -526.73892440
3.3170  -526.80127436
3.3393  -526.81269841
3.3615  -526.60053251
3.3837  -526.49185502
3.4059  -526.54254821
3.4281  -526.64499618
3.4503  -526.54732908
3.4726  -526.77165306
3.4948  -526.85353480
3.5170  -526.74850161
3.5392  -526.97248958
3.5614  -526.90178143
3.5836  -526.61362808
3.6059  -526.68859744
3.6281  -526.49997081
3.6503  -526.32324061
3.6725  -526.58447187
3.6947  -526.42434358
3.7170  -526.32244389
3.7392  -526.68854277
3.7614  -526.55708733
3.7836  -526.80190859
3.8058  -526.91294587
3.8280  -526.87167792
3.8503  -526.67053684
3.8725  -526.91288487
3.8947  -526.96392751
3.9169  -526.68786598
3.9391  -526.94614863
3.9613  -526.82023757
3.9836  -526.71087947
4.0058  -526.77884347
4.0280  -526.89362671
4.0502  -526.57704520
4.0724  -526.63423790
4.0946  -526.46113962
4.1169  -526.34332035
4.1391  -526.18748623
4.1613  -526.32831481
4.1835  -526.24903737
4.2057  -526.27520619
4.2279  -526.44474669
4.2502  -526.40283954
4.2724  -526.40948100
4.2946  -526.27195380
4.3168  -526.43162929
4.3390  -526.20072108
4.3613  -526.18142769
4.3835  -526.29413901
4.4057  -526.18029705
4.4279  -526.01198443
4.4501  -526.39431584
4.4723  -526.18141719
4.4946  -526.09917736
4.5168  -526.21785197
4.5390  -525.96381568
4.5612  -526.02447175
4.5834  -526.00954916
4.6056  -525.62882634
4.6279  -525.85648416
4.6501  -525.92289942
4.6723  -525.87867295
4.6945  -525.89182635
4.7167  -525.92109576
4.7389  -525.63407390
4.7612  -525.51473633
4.7834  -525.54017002
4.8056  -525.36416701
4.8278  -525.19622635
4.8500  -525.18866352
4.8723  -524.83446829
4.8945  -524.88932747
4.9167  -524.87188197
4.9389  -524.74167566
4.9611  -524.79948936
4.9833  -524.59690058
5.0056  -524.89579869
5.0278  -524.84199645
5.0500  -524.91690767
5.0722  -524.78778615
5.0944  -524.79971403
5.1166  -524.77277130
5.1389  -525.08203519
5.1611  -524.85731336
5.1833  -524.93454436
5.2055  -525.17530861
5.2277  -525.26236627
5.2499  -525.22693224
5.2722  -525.42273566
5.2944  -525.33618245
5.3166  -525.25599279
5.3388  -525.44272046
5.3610  -525.31644119
5.3832  -525.17984055
5.4055  -525.63126440
5.4277  -525.35958877
5.4499  -525.31862663
5.4721  -525.45287191
5.4943  -525.48484775
5.5166  -525.32895741
5.5388  -525.39951902
5.5610  -525.34498880
5.5832  -525.01792757
5.6054  -525.14630171
5.6276  -525.04886823
5.6499  -524.98624962
5.6721  -525.17310199
5.6943  -525.27939233
5.7165  -525.19703245
5.7387  -525.48224082
5.7609  -525.44218874
5.7832  -525.42725321
5.8054  -525.53305271
5.8276  -525.52866614
5.8498  -525.46344211
5.8720  -525.37122475
5.8942  -525.42333187
5.9165  -525.23088341
5.9387  -525.11825741
5.9609  -525.16388045
5.9831  -525.11718883
6.0053  -525.12482180
6.0275  -525.30186938
6.0498  -525.32500915
6.0720  -525.43319318
6.0942  -525.59742727
6.1164  -525.69811026
6.1386  -525.51733436
6.1609  -525.61189975
6.1831  -525.62269642
6.2053  -525.30541558
6.2275  -525.51330568
6.2497  -525.60667370
6.2719  -525.40118062
6.2942  -525.51196742
6.3164  -525.45737872
6.3386  -525.31122563
6.3608  -525.21952747
6.3830  -525.38271661
6.4052  -525.07395959
6.4275  -525.02661927
6.4497  -525.29670237
6.4719  -524.96174563
6.4941  -525.03500371
6.5163  -525.24939793
6.5385  -524.92642346
6.5608  -525.07134243
6.5830  -525.06806759
6.6052  -525.01171289
6.6274  -525.07761966
6.6496  -524.97457318
6.6719  -525.03818850
6.6941  -524.90768054
6.7163  -524.84956753
6.7385  -524.53458134
6.7607  -524.36313736
6.7829  -524.41637029
6.8052  -524.28347132
6.8274  -524.40064975
6.8496  -524.27908208
6.8718  -524.21783406
6.8940  -524.19777469
6.9162  -524.03065452
6.9385  -524.14104606
6.9607  -523.95795952
6.9829  -523.98540054
7.0051  -524.12125004
7.0273  -524.36529210
7.0495  -524.52598336
7.0718  -524.56969765
7.0940  -524.56254638
7.1162  -524.67315078
7.1384  -524.60556749
7.1606  -524.50279666
7.1828  -524.29638257
7.2051  -524.14130414
7.2273  -524.03538178
7.2495  -523.92684111
7.2717  -523.93981749
7.2939  -524.07500164
7.3162  -524.26014375
7.3384  -524.55505272
7.3606  -524.37914450
7.3828  -524.46618158
7.4050  -524.62266595
7.4272  -524.54334537
7.4495  -524.38870091
7.4717  -524.59869779
7.4939  -524.49902061
7.5161  -524.52756847
7.5383  -524.67124991
7.5605  -524.69040309
7.5828  -524.42334245
7.6050  -524.16408906
7.6272  -523.95147076
7.6494  -523.82324617
7.6716  -523.89662661
7.6938  -523.80294017
7.7161  -523.52255088
7.7383  -523.32593665
7.7605  -523.34042765
7.7827  -523.27774239
7.8049  -523.26478203
7.8271  -523.44257434
7.8494  -523.45510535
7.8716  -523.29535962
7.8938  -523.23513478
7.9160  -523.08126720
7.9382  -523.10460313
7.9605  -523.06694526
7.9827  -523.08917214
8.0049  -522.99324264
8.0271  -523.31278989
8.0493  -523.50540132
8.0715  -523.09757867
8.0938  -523.14047647
8.1160  -523.18055981
8.1382  -522.85848543
8.1604  -522.91157453
8.1826  -522.85397496
8.2048  -522.74873417
8.2271  -523.20163636
8.2493  -523.31595934
8.2715  -523.27208724
8.2937  -523.39416198
8.3159  -523.35881109
8.3381  -523.12279341
8.3604  -523.19580133
8.3826  -523.35680114
8.4048  -523.13592802
8.4270  -523.35361645
8.4492  -523.36617296
8.4715  -523.18353321
8.4937  -523.36810616
8.5159  -523.49718827
8.5381  -523.45999890
8.5603  -523.34473318
8.5825  -523.23024880
8.6048  -523.31072544
8.6270  -523.37267224
8.6492  -523.30926599
8.6714  -523.55351478
8.6936  -523.57205781
8.7158  -523.80516765
8.7381  -523.90319756
8.7603  -523.82681194
8.7825  -523.89477138
8.8047  -523.95717304
8.8269  -523.93780409
8.8491  -523.94038929
8.8714  -524.08575441
8.8936  -523.98985564
8.9158  -523.83722082
8.9380  -523.94953855
8.9602  -523.72720875
8.9824  -523.81089758
9.0047  -524.03168006
9.0269  -523.98137922
9.0491  -523.74729548
9.0713  -523.86865023
9.0935  -523.69880188
9.1158  -523.43490861
9.1380  -523.63199519
9.1602  -523.39911893
9.1824  -523.32556944
9.2046  -523.61723570
9.2268  -523.67180694
9.2491  -523.47194332
9.2713  -523.72350148
9.2935  -523.51788244
9.3157  -523.21660588
9.3379  -523.13228481
9.3601  -523.03444301
9.3824  -522.79987973
9.4046  -522.97864304
9.4268  -522.83213615
9.4490  -522.80443426
9.4712  -523.03442918
9.4934  -523.06222426
9.5157  -522.92670736
9.5379  -523.05368486
9.5601  -522.95737758
9.5823  -522.90511193
9.6045  -522.79707748
9.6267  -522.74666636
9.6490  -522.91718598
9.6712  -522.92563778
9.6934  -522.85331264
9.7156  -522.86412418
9.7378  -522.85119641
9.7601  -522.79856840
9.7823  -522.68067966
9.8045  -522.59489337
9.8267  -522.63018511
9.8489  -522.54852490
9.8711  -522.52412025
9.8934  -522.46411258
9.9156  -522.36959998
9.9378  -522.14986649
9.9600  -522.23314814
9.9822  -522.43113710
10.0044  -522.21141031
10.0267  -522.34322871
10.0489  -522.44716477
10.0711  -522.23933324
10.0933  -522.52832810
10.1155  -522.72460889
10.1377  -522.61295562
10.1600  -522.53833973
10.1822  -522.65165033
10.2044  -522.50222603
10.2266  -522.38442780
10.2488  -522.70643262
10.2711  -522.43386186
10.2933  -522.33984347
